scenario,seed,policy,variant,at_risk_orders,at_risk_amount,at_risk_recovered_orders,at_risk_recovered_amount,at_risk_recovery_rate,at_risk_messages,at_risk_link_orders,at_risk_steer_orders,at_risk_organic_orders,eligible_orders,eligible_amount,recovered_orders,recovered_amount,recovery_rate,link_orders,steer_orders,organic_orders,messages_sent,links_created,opt_outs,escalations,incidents,actions_refused,policy_violations,time_to_detect_minutes,stream_digest
S1,4,agent,peak,260,42248770,122,20815675,0.469231,65,12,75,35,1727,303534799,569,107695110,0.329473,15,76,478,79,49,2,0,1,4,0,4.0,955a10d8ab18b0fdfe9a868ce5240a76f55f646eef21e5c2fd1d24404b3c50a4
S1,5,B0,peak,239,40290238,60,10511451,0.251046,0,0,0,60,1676,281918241,541,98960366,0.322792,0,0,541,0,0,0,0,1,0,0,6.0,88342074b9bbd05c6a9ed99bdf65d96e1df2c155c83092ab672ea74e0de81817
S1,5,B1,peak,239,40290238,64,11099072,0.267782,158,6,0,58,1676,281918241,929,162399687,0.554296,419,0,510,984,984,28,0,1,587,0,6.0,88342074b9bbd05c6a9ed99bdf65d96e1df2c155c83092ab672ea74e0de81817
S1,5,B2,peak,239,40290238,83,14818883,0.347280,231,23,0,60,1676,281918241,933,166171806,0.556683,402,0,531,1204,785,28,0,1,534,0,6.0,88342074b9bbd05c6a9ed99bdf65d96e1df2c155c83092ab672ea74e0de81817
S1,5,agent,peak,239,40290238,132,22475539,0.552301,62,10,81,41,1676,281918241,615,111569294,0.366945,11,83,521,67,37,0,0,1,0,0,6.0,88342074b9bbd05c6a9ed99bdf65d96e1df2c155c83092ab672ea74e0de81817
S1,6,B0,peak,267,39019689,51,7679684,0.191011,0,0,0,51,1737,253817104,502,76722376,0.289004,0,0,502,0,0,0,0,1,0,0,5.0,bed6e4bca78e8c6f9f453b89131de1d4cddc8b32c69777f8ea3533bbc7f6d9ca
S1,6,B1,peak,267,39019689,77,11154840,0.288390,166,26,0,51,1737,253817104,927,134431573,0.533679,450,0,477,1041,1041,38,0,1,581,0,5.0,bed6e4bca78e8c6f9f453b89131de1d4cddc8b32c69777f8ea3533bbc7f6d9ca
S1,6,B2,peak,267,39019689,94,14540257,0.352060,257,43,0,51,1737,253817104,920,136400529,0.529649,430,0,490,1324,868,30,0,1,575,0,5.0,bed6e4bca78e8c6f9f453b89131de1d4cddc8b32c69777f8ea3533bbc7f6d9ca
S1,6,agent,peak,267,39019689,161,23709509,0.602996,162,34,92,35,1737,253817104,618,93652819,0.355786,38,95,485,181,108,5,0,1,75,0,5.0,bed6e4bca78e8c6f9f453b89131de1d4cddc8b32c69777f8ea3533bbc7f6d9ca
S1,7,B0,peak,276,58256230,52,11134760,0.188406,0,0,0,52,1735,357580311,558,120283344,0.321614,0,0,558,0,0,0,0,1,0,0,7.0,6325c4c036ef4d8fe127d61013f431807d92ebc0d21b4d5c9a2064ef8e3a3a0b
S1,7,B1,peak,276,58256230,93,19858556,0.336957,158,42,0,51,1735,357580311,1011,213618839,0.582709,488,0,523,1015,1015,21,0,1,581,0,7.0,6325c4c036ef4d8fe127d61013f431807d92ebc0d21b4d5c9a2064ef8e3a3a0b
